,school_name,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
0,서울군자초등학교, 42 , 57 , 55 , 47 , 56 , 54 
1,서울답십리초등학교, 187 , 150 , 175 , 144 , 152 , 173 
2,서울동답초등학교, 88 , 87 , 89 , 74 , 89 , 81 
3,서울동원초등학교, 84 , 62 , 65 , 68 , 59 , 77 
4,서울망우초등학교, 64 , 71 , 63 , 64 , 83 , 78 
5,서울면남초등학교, 68 , 70 , 60 , 60 , 53 , 67 
6,서울면동초등학교, 181 , 169 , 143 , 163 , 154 , 165 
7,서울면목초등학교, 136 , 115 , 144 , 109 , 139 , 137 
8,서울면북초등학교, 31 , 29 , 36 , 29 , 23 , 19 
9,서울면일초등학교, 141 , 138 , 135 , 101 , 131 , 132 
10,서울면중초등학교, 48 , 40 , 39 , 46 , 45 , 48 
11,서울묵동초등학교, 99 , 86 , 82 , 69 , 60 , 89 
12,서울배봉초등학교, 69 , 101 , 74 , 63 , 100 , 99 
13,서울봉화초등학교, 104 , 103 , 103 , 83 , 121 , 118 
14,서울상봉초등학교, 109 , 109 , 114 , 106 , 107 , 118 
15,서울신내초등학교, 144 , 148 , 168 , 168 , 170 , 158 
16,서울신답초등학교, 98 , 69 , 78 , 74 , 60 , 98 
17,서울신묵초등학교, 81 , 71 , 66 , 69 , 83 , 77 
18,서울신현초등학교, 88 , 95 , 92 , 79 , 72 , 104 
19,서울안평초등학교, 195 , 196 , 182 , 166 , 186 , 173 
20,서울용두초등학교, 81 , 70 , 64 , 60 , 80 , 76 
21,서울원묵초등학교, 203 , 181 , 203 , 188 , 166 , 194 
22,서울이문초등학교, 159 , 161 , 152 , 135 , 157 , 158 
23,서울장평초등학교, 204 , 166 , 188 , 172 , 187 , 194 
24,서울전곡초등학교, 67 , 71 , 68 , 70 , 93 , 97 
25,서울전농초등학교, 177 , 166 , 145 , 141 , 131 , 141 
26,서울전동초등학교, 142 , 126 , 136 , 149 , 126 , 141 
27,서울종암초등학교, 80 , 85 , 107 , 105 , 94 , 102 
28,서울중곡초등학교, 171 , 165 , 156 , 154 , 184 , 152 
29,서울중랑초등학교, 145 , 114 , 120 , 131 , 125 , 128 
30,서울중목초등학교, 63 , 59 , 64 , 64 , 67 , 89 
31,서울중화초등학교, 257 , 238 , 269 , 240 , 259 , 224 
32,서울청량초등학교, 115 , 120 , 133 , 125 , 140 , 167 
33,서울홍릉초등학교, 85 , 77 , 63 , 90 , 61 , 70 
34,서울홍파초등학교, 49 , 36 , 45 , 53 , 48 , 67 
35,서울휘경초등학교, 47 , 57 , 55 , 73 , 67 , 62 
36,서울중흥초등학교, 34 , 36 , 41 , 36 , 46 , 52 
37,서울묵현초등학교, 109 , 105 , 107 , 85 , 114 , 109 
38,서울휘봉초등학교, 138 , 126 , 123 , 112 , 140 , 127 
39,서울새솔초등학교, 237 , 246 , 136 , 147 , 159 , 111 
40,경희초등학교, 122 , 102 , 96 , 90 , 92 , 84 
41,금성초등학교, 120 , 114 , 96 , 100 , 88 , 80 
42,서울삼육초등학교, 120 , 117 , 126 , 92 , 108 , 101 
43,은석초등학교, 121 , 116 , 109 , 103 , 118 , 91 
44,서울갈현초등학교, 225 , 202 , 223 , 223 , 216 , 242 
45,서울고은초등학교, 102 , 81 , 98 , 89 , 79 , 98 
46,서울공덕초등학교, 125 , 95 , 103 , 110 , 108 , 161 
47,서울구산초등학교, 177 , 178 , 194 , 149 , 186 , 187 
48,서울금화초등학교, 81 , 104 , 89 , 111 , 106 , 109 
49,서울녹번초등학교, 161 , 150 , 147 , 140 , 146 , 144 
50,서울대신초등학교, 34 , 31 , 32 , 29 , 28 , 38 
51,서울대은초등학교, 45 , 48 , 58 , 49 , 69 , 72 
52,서울대조초등학교, 160 , 168 , 156 , 151 , 177 , 169 
53,서울동교초등학교, 164 , 172 , 157 , 157 , 153 , 206 
54,서울마포초등학교, 145 , 122 , 153 , 129 , 132 , 149 
55,서울망원초등학교, 57 , 56 , 48 , 52 , 55 , 56 
56,서울미동초등학교, 60 , 60 , 75 , 61 , 93 , 88 
57,서울북가좌초등학교, 204 , 215 , 218 , 188 , 235 , 245 
58,서울북성초등학교, 142 , 128 , 121 , 119 , 89 , 80 
59,서울북한산초등학교, 24 , 30 , 27 , 29 , 16 , 13 
60,서울불광초등학교, 145 , 134 , 155 , 141 , 118 , 151 
61,서울상신초등학교, 117 , 112 , 94 , 105 , 117 , 110 
62,서울상암초등학교, 121 , 107 , 102 , 99 , 123 , 115 
63,서울서강초등학교, 207 , 148 , 173 , 147 , 168 , 169 
64,서울서교초등학교, 97 , 85 , 108 , 108 , 106 , 137 
65,서울성산초등학교, 135 , 124 , 143 , 116 , 129 , 156 
66,서울성서초등학교, 98 , 116 , 108 , 112 , 126 , 128 
67,서울성원초등학교, 77 , 97 , 78 , 77 , 83 , 128 
68,서울소의초등학교, 79 , 69 , 91 , 70 , 90 , 92 
69,서울수색초등학교, 29 , 26 , 24 , 25 , 33 , 56 
70,서울신도초등학교, 201 , 231 , 234 , 222 , 224 , 270 
71,서울신북초등학교, 146 , 137 , 181 , 139 , 152 , 185 
72,서울신사초등학교, 93 , 75 , 74 , 75 , 66 , 82 
73,서울신석초등학교, 131 , 132 , 148 , 113 , 148 , 150 
74,서울아현초등학교, 95 , 83 , 89 , 82 , 98 , 92 
75,서울안산초등학교, 109 , 129 , 143 , 118 , 116 , 104 
76,서울역촌초등학교, 326 , 298 , 307 , 283 , 282 , 299 
77,서울연가초등학교, 249 , 189 , 206 , 188 , 205 , 215 
78,서울연신초등학교, 56 , 60 , 46 , 43 , 48 , 71 
79,서울연은초등학교, 140 , 116 , 117 , 112 , 115 , 108 
80,서울연천초등학교, 50 , 58 , 54 , 49 , 65 , 58 
81,서울연희초등학교, 127 , 125 , 138 , 139 , 155 , 162 
82,서울염리초등학교, 264 , 245 , 221 , 198 , 257 , 228 
83,서울용강초등학교, 98 , 58 , 69 , 86 , 79 , 85 
84,서울은평초등학교, 90 , 77 , 107 , 86 , 84 , 121 
85,서울응암초등학교, 169 , 135 , 124 , 93 , 118 , 144 
86,서울인왕초등학교, 62 , 75 , 80 , 69 , 90 , 99 
87,서울중동초등학교, 110 , 99 , 100 , 91 , 96 , 81 
88,서울증산초등학교, 99 , 90 , 130 , 125 , 98 , 134 
89,서울창서초등학교, 28 , 28 , 30 , 28 , 41 , 27 
90,서울창천초등학교, 13 , 19 , 20 , 26 , 27 , 24 
91,서울한서초등학교, 96 , 84 , 57 , 43 , 35 , 31 
92,서울홍연초등학교, 130 , 116 , 140 , 125 , 140 , 144 
93,서울홍은초등학교, 69 , 52 , 51 , 61 , 70 , 67 
94,서울홍제초등학교, 134 , 151 , 145 , 141 , 133 , 155 
95,서울연광초등학교, 59 , 46 , 63 , 36 , 41 , 53 
96,서울서신초등학교, 95 , 91 , 115 , 104 , 120 , 123 
97,서울상지초등학교, 111 , 130 , 118 , 113 , 157 , 146 
98,서울구현초등학교, 93 , 117 , 107 , 106 , 112 , 129 
99,서울은명초등학교, 180 , 172 , 198 , 190 , 178 , 218 
100,서울은진초등학교, 126 , 143 , 107 , 135 , 152 , 133 
101,서울진관초등학교, 176 , 162 , 167 , 165 , 168 , 191 
102,서울수리초등학교, 96 , 87 , 81 , 75 , 74 , 97 
103,서울은빛초등학교, 156 , 169 , 180 , 236 , 234 , 241 
104,서울하늘초등학교, 118 , 146 , 193 , 208 , 233 , 197 
105,서울가재울초등학교, 328 , 276 , 283 , 292 , 189 , 179 
106,경기초등학교, 97 , 96 , 96 , 91 , 96 , 93 
107,명지초등학교, 122 , 121 , 119 , 109 , 110 , 97 
108,선일초등학교, 85 , 72 , 79 , 64 , 75 , 57 
109,예일초등학교, 87 , 83 , 85 , 81 , 86 , 79 
110,은혜초등학교, - , - , - , - , - , - 
111,이화여자대학교사범대학부속초등학교, 104 , 104 , 104 , 104 , 104 , 104 
112,추계초등학교, 61 , 60 , 53 , 52 , 51 , 40 
113,충암초등학교, 131 , 97 , 113 , 102 , 71 , 89 
114,홍익대학교사범대학부속초등학교, 85 , 84 , 79 , 74 , 54 , 78 
115,서울어울초등학교, 95 , 56 , 54 , 41 , 35 , 24 
116,서울가산초등학교, 49 , 53 , 48 , 60 , 47 , 76 
117,서울개명초등학교, 75 , 80 , 69 , 65 , 79 , 90 
118,서울개봉초등학교, 223 , 208 , 208 , 206 , 204 , 198 
119,서울개웅초등학교, 108 , 104 , 83 , 89 , 103 , 125 
120,서울고산초등학교, 94 , 64 , 82 , 69 , 98 , 93 
121,서울고척초등학교, 70 , 60 , 68 , 69 , 81 , 88 
122,서울구로남초등학교, 117 , 95 , 99 , 83 , 87 , 86 
123,서울구로초등학교, 99 , 89 , 102 , 93 , 78 , 106 
124,서울구일초등학교, 220 , 221 , 205 , 200 , 235 , 201 
125,서울금산초등학교, 68 , 54 , 61 , 54 , 45 , 60 
126,서울금천초등학교, 25 , 27 , 29 , 29 , 27 , 40 
127,서울당산초등학교, 70 , 68 , 69 , 61 , 60 , 84 
128,서울당서초등학교, 233 , 220 , 185 , 210 , 211 , 188 
129,서울당중초등학교, 97 , 115 , 97 , 84 , 95 , 84 
130,서울대길초등학교, 106 , 109 , 103 , 87 , 94 , 102 
131,서울대동초등학교, 72 , 68 , 70 , 70 , 78 , 87 
132,서울대방초등학교, 103 , 92 , 85 , 65 , 65 , 106 
133,서울대영초등학교, 134 , 113 , 98 , 108 , 105 , 98 
134,서울덕의초등학교, 214 , 193 , 198 , 193 , 195 , 179 
135,서울도림초등학교, 97 , 97 , 88 , 65 , 97 , 92 
136,서울도신초등학교, 51 , 55 , 69 , 72 , 67 , 99 
137,서울독산초등학교, 100 , 122 , 118 , 114 , 92 , 119 
138,서울동구로초등학교, 84 , 70 , 69 , 59 , 68 , 89 
139,서울두산초등학교, 115 , 90 , 85 , 91 , 99 , 78 
140,서울매봉초등학교, 60 , 60 , 47 , 47 , 49 , 63 
141,서울문교초등학교, 42 , 53 , 54 , 42 , 67 , 51 
142,서울문래초등학교, 222 , 211 , 221 , 182 , 207 , 200 
143,서울문백초등학교, 125 , 139 , 126 , 106 , 104 , 130 
144,서울문성초등학교, 82 , 78 , 75 , 65 , 55 , 77 
145,서울백산초등학교, 57 , 55 , 56 , 56 , 55 , 63 
146,서울세곡초등학교, 124 , 96 , 107 , 102 , 89 , 105 
147,서울시흥초등학교, 97 , 97 , 113 , 96 , 106 , 119 
148,서울신구로초등학교, 100 , 75 , 82 , 73 , 77 , 89 
149,서울신대림초등학교, 53 , 44 , 42 , 43 , 51 , 50 
150,서울신도림초등학교, 211 , 258 , 176 , 212 , 222 , 183 
151,서울신영초등학교, 122 , 101 , 83 , 90 , 110 , 85 
152,서울신흥초등학교, 128 , 116 , 98 , 117 , 119 , 109 
153,서울안천초등학교, 51 , 50 , 59 , 51 , 40 , 35 
154,서울여의도초등학교, 195 , 171 , 200 , 171 , 180 , 157 
155,서울영남초등학교, 69 , 59 , 43 , 58 , 49 , 68 
