,school_name,school_addr,latitude,longitude,1_stu_num,2_stu_num,3_stu_num,4_stu_num,5_stu_num,6_stu_num
0,서울휘경초등학교,서울특별시 동대문구 망우로6길 48,37.5857358,127.0581216, 47 , 57 , 55 , 73 , 67 , 62 
1,서울동답초등학교,서울특별시 동대문구 답십리로60길 12,37.57181660000001,127.0642055, 88 , 87 , 89 , 74 , 89 , 81 
2,서울답십리초등학교,서울특별시 동대문구 전농로3길 23,37.569003,127.0554225, 187 , 150 , 175 , 144 , 152 , 173 
3,서울신답초등학교,서울특별시 동대문구 천호대로 177,37.5730006,127.0433994, 98 , 69 , 78 , 74 , 60 , 98 
4,서울용두초등학교,서울특별시 동대문구 천호대로13길 43,37.57574279999999,127.0288848, 81 , 70 , 64 , 60 , 80 , 76 
5,서울이문초등학교,서울특별시 동대문구 신이문로 16,37.60204,127.0641929, 159 , 161 , 152 , 135 , 157 , 158 
6,서울군자초등학교,서울특별시 동대문구 한천로6길 21,37.5643015,127.0613471, 42 , 57 , 55 , 47 , 56 , 54 
7,서울장평초등학교,서울특별시 동대문구 답십리로69길 27,37.5738074,127.0732688, 204 , 166 , 188 , 172 , 187 , 194 
8,서울안평초등학교,서울특별시 동대문구 장한로14길 61,37.56571160000001,127.0713495, 195 , 196 , 182 , 166 , 186 , 173 
9,서울배봉초등학교,서울특별시 동대문구 사가정로 193,37.58002800000001,127.0659414, 69 , 101 , 74 , 63 , 100 , 99 
10,서울전동초등학교,서울특별시 동대문구 전농로16길 61,37.57909520000001,127.061138, 142 , 126 , 136 , 149 , 126 , 141 
11,서울전곡초등학교,서울특별시 동대문구 전농로 172,37.5805755,127.0562692, 67 , 71 , 68 , 70 , 93 , 97 
12,서울전농초등학교,서울특별시 동대문구 사가정로 66,37.5744176,127.0542426, 177 , 166 , 145 , 141 , 131 , 141 
13,서울홍파초등학교,서울특별시 동대문구 고산자로 518,37.5858976,127.0395874, 49 , 36 , 45 , 53 , 48 , 67 
14,서울종암초등학교,서울특별시 동대문구 무학로44길 25,37.5821589,127.0311722, 80 , 85 , 107 , 105 , 94 , 102 
15,서울홍릉초등학교,서울특별시 동대문구 회기로 90,37.5909805,127.0474406, 85 , 77 , 63 , 90 , 61 , 70 
16,서울청량초등학교,서울특별시 동대문구 회기로25길 31,37.5919847,127.0558443, 115 , 120 , 133 , 125 , 140 , 167 
17,서울휘봉초등학교,서울특별시 동대문구 장안벚꽃로 309,37.5859982,127.0701251, 138 , 126 , 123 , 112 , 140 , 127 
18,경희초등학교,서울특별시 동대문구 경희대로 26,37.5939495015,127.0548901682, 122 , 102 , 96 , 90 , 92 , 84 
19,서울삼육초등학교,서울특별시 동대문구 회기로10길 63,37.5891291,127.0477488, 120 , 117 , 126 , 92 , 108 , 101 
20,은석초등학교,서울특별시 동대문구 장안벚꽃로 205,37.5785598048,127.0757635382, 121 , 116 , 109 , 103 , 118 , 91 
21,은석초등학교,서울특별시 동대문구 장안벚꽃로 205,37.5785598048,127.0757635382, 19 , 9 , 17 , 12 , 13 , 11 
22,서울면목초등학교,서울특별시 중랑구 면목로 434,37.591356,127.0876154, 136 , 115 , 144 , 109 , 139 , 137 
23,서울면남초등학교,서울특별시 중랑구 면목로30나길 38,37.5769839,127.0880206, 68 , 70 , 60 , 60 , 53 , 67 
